"uf";"br";"total_acidentes";"acidentes_fatais";"perc_fatais"
"RS";"468";"45";"5";"11.11"
"PR";"487";"43";"4";"9.3"
"GO";"158";"41";"5";"12.2"
"RN";"427";"40";"4";"10"
"AL";"423";"39";"8";"20.51"
"BA";"418";"37";"5";"13.51"
"ES";"393";"37";"1";"2.7"
"PA";"222";"37";"13";"35.14"
"PI";"407";"37";"14";"37.84"
"AM";"319";"36";"10";"27.78"
"PB";"361";"36";"5";"13.89"
"RR";"401";"35";"5";"14.29"
"SC";"158";"35";"1";"2.86"
"PA";"308";"34";"10";"29.41"
"PI";"222";"33";"10";"30.3"
"SP";"488";"33";"1";"3.03"
"RJ";"495";"32";"0";"0"
"RO";"425";"32";"2";"6.25"
"SP";"459";"29";"1";"3.45"
"BA";"420";"28";"8";"28.57"
"PB";"412";"28";"10";"35.71"
"RO";"429";"28";"6";"21.43"
"PR";"467";"27";"1";"3.7"
"BA";"410";"26";"2";"7.69"
"MA";"402";"26";"8";"30.77"
"TO";"242";"26";"4";"15.38"
"AM";"230";"24";"0";"0"
"PI";"402";"24";"3";"12.5"
"RJ";"0";"23";"0";"0"
"RO";"421";"23";"1";"4.35"
"RR";"432";"23";"4";"17.39"
"CE";"230";"22";"12";"54.55"
"PR";"280";"22";"2";"9.09"
"TO";"230";"21";"8";"38.1"
"RS";"0";"17";"0";"0"
"AL";"424";"15";"4";"26.67"
"PB";"405";"15";"1";"6.67"
"PE";"110";"15";"2";"13.33"
"AL";"416";"13";"6";"46.15"
"CE";"402";"13";"5";"38.46"
"PR";"0";"13";"0";"0"
"GO";"0";"12";"0";"0"
"GO";"251";"12";"0";"0"
"PA";"0";"12";"0";"0"
"PB";"427";"12";"2";"16.67"
"MS";"419";"11";"1";"9.09"
"PB";"116";"11";"0";"0"
"SC";"0";"10";"0";"0"
"PE";"0";"9";"0";"0"
"SP";"0";"9";"0";"0"
"TO";"226";"9";"1";"11.11"
"TO";"235";"9";"1";"11.11"
"ES";"447";"8";"2";"25"
"MG";"0";"8";"0";"0"
"PA";"153";"8";"4";"50"
"CE";"226";"7";"4";"57.14"
"ES";"0";"7";"0";"0"
"RS";"480";"7";"0";"0"
"SP";"262";"7";"1";"14.29"
"CE";"403";"6";"3";"50"
"DF";"0";"6";"0";"0"
"MS";"359";"6";"1";"16.67"
"MS";"487";"6";"1";"16.67"
"RJ";"354";"6";"0";"0"
"RN";"0";"6";"0";"0"
"AC";"307";"5";"0";"0"
"MA";"330";"5";"3";"60"
"MS";"436";"5";"0";"0"
"PB";"0";"5";"0";"0"
"AM";"0";"4";"0";"0"
"BA";"30";"4";"2";"50"
"PI";"235";"4";"1";"25"
"RO";"0";"4";"0";"0"
"AC";"0";"3";"0";"0"
"CE";"0";"3";"0";"0"
"MS";"0";"3";"0";"0"
"MT";"0";"3";"0";"0"
"TO";"0";"3";"0";"0"
"CE";"122";"2";"0";"0"
"MG";"265";"2";"0";"0"
"PI";"0";"2";"0";"0"
"RJ";"485";"2";"0";"0"
"SC";"285";"2";"0";"0"
"SE";"0";"2";"0";"0"
"AL";"110";"1";"0";"0"
"AM";"317";"1";"1";"100"
"AP";"0";"1";"0";"0"
"BA";"430";"1";"0";"0"
"ES";"484";"1";"0";"0"
"MA";"0";"1";"0";"0"
"MT";"242";"1";"0";"0"
"PA";"158";"1";"0";"0"
"PB";"110";"1";"0";"0"
"PB";"426";"1";"0";"0"
"PI";"20";"1";"0";"0"
"RN";"437";"1";"0";"0"
"RR";"0";"1";"0";"0"
"RR";"210";"1";"1";"100"
"RR";"431";"1";"0";"0"
